Ev_origintime,Ev_latitude,Ev_longitude,Ev_depth,Ev_magnitude
2010-01-02T11:50:29.949999,-38.454191,176.256689,6.567,0.5
2010-01-02T11:58:24.969999,-38.455086,176.294222,4.415,0.8
2010-01-02T16:39:43.079999,-38.419568,176.208919,6.368,0.9
2010-01-02T16:48:24.100000,-38.417786,176.191488,5.318,1.0
2010-01-02T16:48:45.460000,-38.41827,176.20695,6.523,1.0
2010-01-03T11:46:12.609999,-38.437447,176.179313,6.5,1.4
2010-01-03T11:47:07.820000,-38.432812,176.177083,8.92,1.3
2010-01-03T11:47:55.609999,-38.442131,176.181331,7.295,1.0
2010-01-03T11:48:16.760000,-38.439433,176.180941,6.121,1.1
2010-01-09T01:27:19.949999,-38.233488,176.677507,0.084,1.8
2010-01-09T07:03:50.490000,-38.277177,176.40013,8.553,1.6
2010-01-09T11:58:53.509999,-38.402519,176.158512,10.32,0.5
2010-01-10T10:37:06.160000,-38.379655,176.275863,5.929,0.8
2010-01-10T13:54:23.690000,-38.137211,176.46779,3.96,1.5
2010-01-13T02:26:06.089999,-38.357117,176.173454,8.928,0.7
2010-01-13T15:26:10.619999,-38.429867,176.150635,5.482,0.6
2010-01-13T15:32:08.960000,-38.416467,176.167855,5.531,1.4
2010-01-13T15:32:47.969999,-38.415833,176.169661,5.778,1.1
2010-01-13T15:33:29.429999,-38.419067,176.170931,10.768,0.8
2010-01-13T15:33:52.640000,-38.40435,176.165788,9.725,0.3
2010-01-13T15:42:29.579999,-38.420691,176.181201,7.634,0.8
2010-01-13T15:58:35.969999,-38.40249,176.177474,5.309,0.5
2010-01-16T06:25:50.280000,-38.374325,176.287191,6.107,1.9
2010-01-16T06:26:34.590000,-38.37817,176.275277,5.233,0.7
2010-01-16T06:30:19.100000,-38.371912,176.29209,6.233,1.3
2010-01-16T06:32:53.789999,-38.374601,176.287354,6.084,1.8
2010-01-16T06:38:40,-38.370447,176.288818,6.48,1.6
2010-01-16T06:38:59.289999,-38.371623,176.285059,6.474,1.7
2010-01-16T06:41:46.390000,-38.387756,176.289176,8.415,0.9
2010-01-16T06:45:51.280000,-38.376998,176.28527,5.9,1.9
2010-01-16T06:54:36.850000,-38.374133,176.287044,5.994,1.6
2010-01-16T07:04:08.279999,-38.3743,176.287549,6.055,2.2
2010-01-16T08:22:45.320000,-38.371346,176.285059,6.533,1.3
2010-01-16T09:19:11.769999,-38.388652,176.248031,12.698,1.3
2010-01-16T10:45:49.899999,-38.372538,176.290609,6.42,1.0
2010-01-18T05:31:46.390000,-38.307784,176.31416,6.5,1.9
2010-01-18T09:34:55.710000,-38.372986,176.299902,6.739,0.8
