latitude longitude "depth (km)" "Vp (km/s)" "Vs (km/s)" Vp/Vs DWS_Vp
-38.38 176.2794 -1.0 5.114 2.117 1.55 432.4
-38.3167 176.2708 -1.0 4.555 2.078 1.75 115.0
-38.2193 176.2088 -1.0 4.263 1.865 1.74 130.8
-38.1446 176.1825 -1.0 4.492 2.127 1.72 161.1
-38.1843 176.2448 -1.0 4.201 2.215 1.72 165.5
-38.2467 176.3428 -1.0 3.897 1.788 1.95 332.2
-38.275 176.3874 -1.0 4.809 2.052 1.75 147.6
-38.1096 176.2185 -1.0 4.311 2.277 1.73 205.3
-38.2334 176.5039 -1.0 3.39 2.018 1.788 241.2
-38.0396 176.2904 -1.0 4.434 2.549 1.73 175.0
-38.1133 176.4062 -1.0 4.468 2.607 1.72 132.4
-38.1417 176.4507 -1.0 3.634 2.181 1.74 143.6
-38.0093 176.4246 -1.0 4.33 2.269 1.71 101.8
-38.002 176.6675 -1.0 4.345 2.057 1.73 281.2
-38.3583 176.1542 1.0 3.323 1.857 1.8 369.5
-38.3867 176.1988 1.0 4.138 2.166 1.77 168.9
-38.3233 176.1903 1.0 3.661 2.023 1.8 296.9
-38.3517 176.2348 1.0 4.022 2.137 1.79 493.0
-38.38 176.2794 1.0 3.9 2.189 1.672 957.7
-38.2543 176.1728 1.0 4.494 2.135 1.76 291.8
-38.2883 176.2263 1.0 4.751 2.251 1.79 366.1
-38.3167 176.2708 1.0 4.237 2.243 1.85 472.7
-38.345 176.3154 1.0 4.744 2.416 1.691 749.0
-38.3734 176.36 1.0 3.623 1.837 1.77 238.1
-38.2193 176.2088 1.0 3.564 2.063 1.838 485.5
-38.2533 176.2623 1.0 3.666 2.023 1.75 114.1
-38.2817 176.3069 1.0 3.877 2.086 1.843 637.8
-38.31 176.3514 1.0 4.468 2.268 1.84 550.8
-38.3384 176.396 1.0 3.809 1.906 1.78 158.3
-38.3667 176.4406 1.0 4.362 2.149 1.73 179.9
-38.3951 176.4853 1.0 4.865 2.439 1.74 125.2
-38.1446 176.1825 1.0 3.759 2.278 1.71 348.7
-38.1843 176.2448 1.0 3.27 2.293 1.745 423.3
-38.2467 176.3428 1.0 3.235 1.873 1.739 684.0
-38.275 176.3874 1.0 4.818 2.236 1.8 696.9
-38.3034 176.432 1.0 4.472 2.337 1.77 221.7
-38.3317 176.4766 1.0 4.284 2.38 1.883 599.6
-38.3601 176.5213 1.0 5.241 2.848 1.876 337.5
-38.1096 176.2185 1.0 3.47 2.247 1.69 512.1
-38.1493 176.2808 1.0 3.955 2.101 1.72 345.1
-38.2117 176.3788 1.0 3.489 1.812 1.81 597.7
-38.24 176.4234 1.0 4.088 2.17 1.76 473.4
-38.2684 176.468 1.0 4.237 2.178 1.828 663.2
-38.2967 176.5126 1.0 4.63 2.488 1.79 602.4
-38.325 176.5572 1.0 4.59 2.425 1.74 361.8
-38.0746 176.2545 1.0 4.357 2.468 1.68 1075.5
-38.1143 176.3168 1.0 4.858 2.5 1.71 487.3
-38.1483 176.3702 1.0 4.25 2.167 1.55 390.7
-38.1767 176.4148 1.0 3.82 1.76 1.8 126.6
-38.205 176.4593 1.0 3.225 2.22 1.73 194.1
-38.2334 176.5039 1.0 2.948 1.81 1.831 572.8
-38.2617 176.5485 1.0 4.465 2.758 1.75 221.0
-38.29 176.5931 1.0 4.443 2.66 1.74 103.4
-38.0396 176.2904 1.0 4.293 2.56 1.55 1108.0
-38.0793 176.3527 1.0 4.808 2.655 1.69 513.4
-38.1133 176.4062 1.0 4.135 2.243 1.656 943.8
-38.1417 176.4507 1.0 3.11 1.88 2.02 1363.4
-38.17 176.4953 1.0 2.928 1.933 1.73 552.7
-38.1984 176.5399 1.0 3.261 1.972 1.77 283.1
-38.2267 176.5845 1.0 4.799 3.057 1.75 131.5
-38.0046 176.3264 1.0 4.146 2.31 1.67 439.1
-38.0443 176.3887 1.0 4.003 2.428 1.67 656.5
-38.0783 176.4421 1.0 4.367 2.316 1.72 243.9
-38.1067 176.4866 1.0 3.385 2.15 1.75 1226.7
-38.135 176.5312 1.0 3.263 2.358 1.73 366.7
-38.1917 176.6204 1.0 4.567 2.845 1.74 133.4
-38.0093 176.4246 1.0 4.046 2.47 1.95 625.7
-38.0717 176.5225 1.0 4.176 2.567 1.72 161.9
-38.1567 176.6563 1.0 5.197 2.92 1.74 202.3
-38.0793 176.6619 1.0 4.646 2.584 1.73 1557.6
